epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.948,2.68021,22.6463,1.79027,0.09027,0.07755,0.03201,0.01049,1.6103,527.353,1.10461,0.06766,0.000326667,0.000326667
2,394.282,2.65889,2.75653,1.70969,0.25969,0.28571,0.18789,0.05929,1.46983,779.361,1.15034,0.0346582,0.00065821,0.00065821
3,588.777,2.58326,2.56259,1.72394,0.2863,0.33878,0.18572,0.05864,1.43579,270.201,1.12589,0.00164926,0.000982589,0.000982589
4,780.259,2.52268,2.34407,1.78067,0.2925,0.19068,0.15356,0.05343,1.46525,192.809,1.10394,0.000975773,0.000975773,0.000975773
5,968.642,2.41837,2.2315,1.67296,0.33095,0.25306,0.18924,0.06283,1.39174,32.9919,1.03096,0.000957205,0.000957205,0.000957205
6,1169.67,2.40073,2.28959,1.71017,0.30922,0.29796,0.23861,0.0818,1.33418,54.8008,1.01508,0.000933683,0.000933683,0.000933683
7,1364.25,2.3563,2.26704,1.70792,0.39652,0.30204,0.26273,0.08349,1.34914,7.88366,1.00129,0.000905463,0.000905463,0.000905463
8,1568.55,2.31379,2.16119,1.65321,0.40015,0.33469,0.29373,0.09836,1.3307,49.154,0.98155,0.000872857,0.000872857,0.000872857
9,1760.49,2.29181,2.04451,1.62282,0.43862,0.3551,0.30189,0.10825,1.32966,6.6996,0.98354,0.00083622,0.00083622,0.00083622
10,1965.04,2.1794,2.01714,1.56001,0.43464,0.35773,0.3125,0.10167,1.35418,11.5153,1.00863,0.000795954,0.000795954,0.000795954
11,2149.66,2.18451,1.93735,1.56495,0.46278,0.38776,0.36091,0.11923,1.28506,11.734,0.97274,0.0007525,0.0007525,0.0007525
12,2342.97,2.23679,1.92261,1.58101,0.45614,0.33548,0.33868,0.12477,1.31057,2.85653,0.94601,0.000706335,0.000706335,0.000706335
13,2529.2,2.15601,1.84933,1.57213,0.46944,0.37143,0.34388,0.11795,1.2698,9.58692,0.93267,0.000657963,0.000657963,0.000657963
14,2733.66,2.15448,1.79989,1.53491,0.49814,0.35102,0.37841,0.13767,1.25835,11.2519,0.91826,0.000607916,0.000607916,0.000607916
15,2934.69,2.07738,1.78419,1.50682,0.54332,0.39184,0.40177,0.15098,1.22932,4.09335,0.91016,0.000556742,0.000556742,0.000556742
16,3130.45,2.03754,1.72618,1.4574,0.53824,0.39592,0.3985,0.14259,1.24536,8.76432,0.89949,0.000505,0.000505,0.000505
17,3326.12,1.97484,1.62756,1.4331,0.55768,0.41683,0.39284,0.15539,1.18655,7.74263,0.87517,0.000453258,0.000453258,0.000453258
18,3495.98,1.94408,1.60521,1.43579,0.56337,0.39184,0.42886,0.18109,1.16848,6.73396,0.87477,0.000402084,0.000402084,0.000402084
19,3691.2,1.99222,1.64654,1.45417,0.54325,0.4449,0.43194,0.17606,1.18127,6.71292,0.87777,0.000352037,0.000352037,0.000352037
20,3877.02,1.97837,1.58496,1.43916,0.62758,0.40581,0.4747,0.18938,1.12515,5.10475,0.84458,0.000303665,0.000303665,0.000303665
21,4080.69,1.87785,1.48351,1.39595,0.6593,0.43265,0.46436,0.19974,1.14951,5.36899,0.86226,0.0002575,0.0002575,0.0002575
22,4249.63,1.8898,1.46416,1.40402,0.60018,0.43673,0.46904,0.19918,1.16427,5.69195,0.86976,0.000214046,0.000214046,0.000214046
23,4435.21,1.83953,1.43654,1.38808,0.61873,0.4449,0.48785,0.20171,1.17296,6.87298,0.87167,0.00017378,0.00017378,0.00017378
24,4611.37,1.86075,1.44667,1.34807,0.65861,0.44884,0.49091,0.21118,1.14671,6.02495,0.84698,0.000137143,0.000137143,0.000137143
25,4821.09,1.82431,1.46318,1.35725,0.65584,0.44082,0.49023,0.21593,1.1278,5.97676,0.84239,0.000104537,0.000104537,0.000104537
26,5022.15,1.81753,1.39996,1.36015,0.69531,0.42449,0.4874,0.20804,1.16797,6.14145,0.85762,7.63174e-05,7.63174e-05,7.63174e-05
27,5209.5,1.79158,1.34026,1.3146,0.68247,0.43864,0.48846,0.21252,1.1464,6.69231,0.8445,5.2795e-05,5.2795e-05,5.2795e-05
28,5397.8,1.78008,1.36605,1.32221,0.67485,0.45714,0.49825,0.21207,1.1488,6.26303,0.84618,3.4227e-05,3.4227e-05,3.4227e-05
29,5600.67,1.78463,1.34801,1.32888,0.63223,0.46939,0.49141,0.21259,1.15096,6.87454,0.84605,2.08169e-05,2.08169e-05,2.08169e-05
30,5781.88,1.78779,1.35345,1.31396,0.63674,0.47221,0.49471,0.21216,1.14543,7.06468,0.84279,1.27117e-05,1.27117e-05,1.27117e-05
