epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2934,1.98895,1.89061,1.80845,0.34335,0.29503,0.2555,0.09273,1.84896,13.0762,1.5861,0.069155,0.00232167,0.00232167
2,94.0689,2.23061,2.29767,1.97399,0.33852,0.32593,0.25015,0.09671,1.8676,55.2163,1.6913,0.0381046,0.00460465,0.00460465
3,139.903,2.25692,2.31321,2.02434,0.22794,0.26629,0.15374,0.04498,2.05661,76.4904,1.95974,0.00685593,0.00668927,0.00668927
4,185.183,2.33295,2.4304,2.0545,0.37849,0.35196,0.29307,0.10697,1.78495,11.9936,1.60754,0.00633824,0.00633824,0.00633824
5,231.307,2.2634,2.25796,2.01943,0.38558,0.31657,0.27145,0.1054,1.77707,5.03559,1.58726,0.00585354,0.00585354,0.00585354
6,293.57,2.20355,2.17451,1.93885,0.37264,0.32402,0.29829,0.12024,1.75183,3.7383,1.53617,0.0052675,0.0052675,0.0052675
7,339.127,2.14663,2.08062,1.90803,0.42997,0.36127,0.32801,0.12336,1.7232,4.45646,1.5996,0.00460574,0.00460574,0.00460574
8,384.759,2.18119,2.06602,1.93367,0.38393,0.30753,0.29062,0.11334,1.78314,3.49405,1.58405,0.00389719,0.00389719,0.00389719
9,430.168,2.08283,1.94329,1.88118,0.53671,0.39106,0.38404,0.14862,1.68757,2.78662,1.5175,0.00317281,0.00317281,0.00317281
10,475.606,2.01856,2.04928,1.82632,0.4698,0.36685,0.35496,0.15432,1.63985,3.41262,1.49893,0.00246426,0.00246426,0.00246426
11,522.007,2.01844,1.91305,1.83004,0.50681,0.42086,0.41241,0.17596,1.57105,4.18727,1.42574,0.0018025,0.0018025,0.0018025
12,569.003,1.92013,1.7785,1.74925,0.50009,0.44507,0.43268,0.18993,1.59003,3.02959,1.4232,0.00121646,0.00121646,0.00121646
13,615.558,1.92556,1.7286,1.74749,0.51562,0.45624,0.44876,0.20134,1.54613,3.27214,1.40738,0.000731756,0.000731756,0.000731756
14,661.912,1.89342,1.72703,1.73266,0.51964,0.46369,0.45666,0.20756,1.52187,2.69193,1.37869,0.000369565,0.000369565,0.000369565
15,708.06,1.88648,1.66541,1.70687,0.54448,0.46555,0.46597,0.21272,1.52359,3.00591,1.37368,0.000145719,0.000145719,0.000145719
